1280,1e9703
1281,1e9704
1284P,1e9705
1284,1e9706
128A,1e9702
128RFA1,1ea701
128,1e9702
162,1e9404
164A,1e940f
164PA,1e940a
164P,1e940a
165A,1e9410
165PA,1e9407
165P,1e9407
168A,1e9406
168PA,1e940b
168P,1e940b
168,1e9406
169A,1e9411
169PA,1e9405
169P,1e9405
16A,1e9403
16HVB,1e940d
16M1,1e9484
16U2,1e9489
16U4,1e9488
16,1e9403
2560,1e9801
2561,1e9802
324A,1e9515
324PA,1e9511
324P,1e9508
3250A,1e9506
3250PA,1e950e
3250P,1e950e
3250,1e9506
325A,1e9505
325PA,1e950d
325P,1e950d
325,1e9505
328P,1e950f
328PB,1e9516
328,1e9514
3290A,1e9504
3290PA,1e950c
3290P,1e950c
3290,1e9504
329A,1e9503
329PA,1e950b
329P,1e950b
329,1e9503
32A,1e9502
32C1,1e9586
32HVB,1e9510
32M1,1e9584
32U2,1e958a
32U4,1e9587
32,1e9502
48A,1e9205
48PA,1e920a
48P,1e920a
48,1e9205
640,1e9608
644A,1e9609
644PA,1e960a
644P,1e960a
644,1e9609
6450A,1e9606
6450P,1e960e
6450,1e9606
645A,1e9605
645P,1e960D
645,1e9605
6490A,1e9604
6490P,1e960C
6490,1e9604
649A,1e9603
649P,1e960b
649,1e9603
64A,1e9602
64C1,1e9686
64M1,1e9684
64,1e9602
8515,1e9306
8535,1e9308
88A,1e930a
88PA,1e930f
88P,1e930f
88,1e930a
8A,1e9307
8U2,1e9389
8,1e9307
